Facility PK,FacilityName,Service Category,Service Type,BuildingNumber,PartnerType,PartnerTypeDetailed,Address,Address 2,Borough,Zipcode,Latitude,Longitude,Phone,AdditionalInfo,StartDate,EndDate,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Condoms (Male),FC2 (Female/Insertive Condoms),Lubricant,Facility Type,Website,Community Board,Council District,Census Tract,BIN,BBL,NTA
53534559,Bushwick Communicare Center,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Clinical Facility,335 Central Avenue,,Brooklyn,11221,40.69466631,-73.91915328,,You can find free safer sex products inside a dispenser/fishbowl located in the hallway of the Government Building. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,304,37,41700,3076115,3033240001,BK78
53534853,The Levee,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,212 Berry Street,,Brooklyn,11249,40.71610313,-73.9617334,,You can find free safer sex products inside a fishbowls (2) located by the bar and on top of ATM of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,12:00 PM - 4:00 AM,TRUE,FALSE,TRUE,,,301,34,55500,3062400,3023580018,BK73
53534781,NYCAP - Condom Distribution Program,Free Safer Sex Products,Condoms and Lubricant,,Government,Government Agency,"1932 Arthur Avenue,""2nd Floor, Room 203B""",,Bronx,10457,40.84567816,-73.89329241,718 579 - 6815,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,8:00 AM - 5:00 PM,,,TRUE,TRUE,TRUE,,,206,17,36901,2009911,2029470018,BX17
53534794,"Parallax Center, Inc.",Free Safer Sex Products,Condoms and Lubricant,,Hospital,Other,"145 East 32 Street,Floor 6",,Manhattan,10016,40.7449553,-73.98027013,212-779-9207,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 PM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 2:30 PM,9:00 AM - 2:30 PM,TRUE,TRUE,TRUE,,,106,2,7200,1018476,1008880027,MN20
53534796,Parsons Medical Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,88-01 Parsons Boulevard,,Queens,11432,40.70659559,-73.80212984,,You can find free safer sex products inside a dispenser located across from reception area of the Community Health Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,FALSE,,,412,24,44602,4208941,4097640015,QN61
53534509,Arsenio M Tio Medical Practice,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"231 Sherman Avenue,Suite 1F",,Manhattan,10034,40.86592552,-73.91960952,(347) 458-4592,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM,7:00 AM - 3:30 PM,,,TRUE,TRUE,TRUE,,,112,10,29300,1064785,1022230001,MN01
53534666,HASA Center #51 Queensboro,Free Safer Sex Products,Condoms and Lubricant,,Government,Community Center,33-28 Northern Boulevard,,Queens,11101,40.75200066,-73.92999791,,You can find free safer sex products inside a dispensers (2) located in the waiting room of the Community Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,401,26,17100,4461879,4002140240,QN31
53534527,Bizarre,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,12 Jefferson Street,,Brooklyn,11206,40.69741555,-73.93479054,,You can find free safer sex products inside a Fishbowl located by the bar of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,304,34,38900,3072173,3031700014,BK78
53534761,Northern Men's Sauna,Free Safer Sex Products,Condoms and Lubricant,,Business,Sauna/Spa,33-61 Farrington Street,,Queens,11354,40.7663098,-73.83252544,718-606-6121,You can find free safer sex products inside a fishbowl located in the back of the Sauna/Spa. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,TRUE,FALSE,TRUE,,,407,20,86900,4112002,4049500010,QN22
53534624,East Side Club,Free Safer Sex Products,Condoms and Lubricant,,Business,Sauna/Spa,"227 East 56 Street,6th Floor",,Manhattan,10022,40.75926076,-73.96726742,212-876-2300,You can find free safer sex products inside a dispenser located on the counter of the Sauna/Spa. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,106,4,10800,1038592,1013300011,MN19
53534742,"Mixteca Organization, Inc.",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Social Service,"245 23 Street,2nd Floor",,Brooklyn,11215,40.65993482,-73.99409618,(718) 965-4795,Condoms (internal/external) & lubricant are available between the front entrance and stairs to the second floor of our community center. You can call (718) 965-4795 or email info@mixteca.org for more information.Los condones (internos / externos) y el lubricante están disponibles entre la entrada principal y las escaleras al segundo piso de nuestro centro comunitario. Puede llamar al (718) 965-4795 o enviar un correo electrónico a info@mixteca.org para obtener más información. <br><br>These fr,1.90001E+13,1.90001E+13,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,,307,38,14500,3017611,3008990001,BK32
53534494,Adult Primary Care Clinic at NYC H+H Bellevue,Free Safer Sex Products,Condoms and Lubricant,,Hospital,Clinical Facility,"462 1 Avenue,Ambulatory Care Building (2nd floor Desk 2B)",,Manhattan,10016,40.73916596,-73.97686174,(212) 562-4141,You can find free safer sex products inside a dispenser/fishbowl located in the waiting room/reception on 4th floor of the Community Health Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 8:00 PM,9:00 AM - 5:00 PM,,,TRUE,TRUE,FALSE,,<a href=https://www.nychealthandhospitals.org/bellevue/>Visit this organization's website</a>,106,4,6200,1086515,1009620100,MN20
53534560,Callen-Lorde Community Health Center,Free Safer Sex Products,Condoms and Lubricant,,Community Health Center,Clinical Facility,"356 West 18 Street,n/a",,Manhattan,10011,40.7428984,-74.00226993,(212) 271-7200,You can find free safer sex products inside a dispenser/fishbowl located fishbowl in the front of the Community Health Center. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 8:00 PM,8:30 AM - 4:30 PM,8:30 AM - 3:00 PM,,TRUE,TRUE,TRUE,,<a href=http://callen-lorde.org/our-services/>Visit this organization's website</a>,104,3,8300,1013088,1007410063,MN13
53534640,Floyds,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,131 Atlantic Avenue,,Brooklyn,11201,40.69060227,-73.99566204,,You can find free safer sex products inside a fishbowl located on the left side of the bar of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,,,,,,,,TRUE,FALSE,TRUE,,,302,33,700,3002741,3002750017,BK09
53534844,"The Child Center of NY, Asian Outreach Program",Free Safer Sex Products,Condoms and Lubricant,,Community-Based Organization/Non-Profit,Youth Center,"140-15B Sanford Avenue,2nd floor",,Queens,11355,40.75726806,-73.8266466,7183588288,Please ask to speak to someone for condoms <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,9:00 AM - 3:00 PM,,TRUE,TRUE,TRUE,,,407,20,85300,4114293,4050450001,QN22
53534727,Mannam Medical Center,Free Safer Sex Products,Condoms and Lubricant,,Private Practice,Physician,"616 Castle Hill Avenue,1st Floor",,Bronx,10473,40.81932717,-73.8480898,7187926000,<br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,8:00 AM - 6:00 PM,10:00 AM - 3:00 PM,,TRUE,FALSE,FALSE,,,209,18,9000,2021926,2035730025,BX09
53534615,Don't Tell Mama,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,343 West 46 Street,,Manhattan,10036,40.76033263,-73.98919605,718-538-7427,You can find free safer sex products inside a fishbowl located in the back of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,4:00 PM - 2:30 AM,4:00 PM - 2:30 AM,4:00 PM - 2:30 AM,4:00 PM - 2:30 AM,4:00 PM - 3:30 AM,4:00 PM - 3:30 AM,4:00 PM - 2:30 AM,TRUE,FALSE,TRUE,,,104,3,12700,1025083,1010370113,MN15
53534790,Oxigeno,Free Safer Sex Products,Condoms and Lubricant,,Business,Other,40-14 83 Street,,Queens,11373,40.74758993,-73.88298028,212-924-8315,You can find free safer sex products inside a dispenser located in the back of the Beauty Salon. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,9:30 AM - 10:00 PM,TRUE,FALSE,TRUE,,,404,21,26901,4036896,4014930013,QN29
53534831,Stage 48,Free Safer Sex Products,Condoms and Lubricant,,Business,Bar/Lounge,605 West 48 Street,,Manhattan,10036,40.76478232,-73.99590267,,You can find free safer sex products inside a fishbowl located near the women's restroom of the Bar/Lounge/Event Space. <br><br>These free safer sex products are supplied by the NYC Condom Availability Program. Visit our <a href=http://nyc.gov/condoms>website</a> to learn more or join our <a href=http://www.facebook.com/NYCcondom>Facebook community</a>.,1.90001E+13,1.90001E+13,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,11:00 AM - 6:00 PM,5:00 PM - 4:00 AM,,TRUE,TRUE,TRUE,,,104,3,12900,1027129,1010960026,MN15
